Time;Channel B;Channel D
(ms);(V);(V)

-4,97099181;2,00079966;1,21598184
-4,97088781;2,00079966;1,19863439
-4,97078381;2,00079966;1,19863439
-4,97067981;2,00079966;1,18128693
-4,97057581;2,00079966;1,19863439
-4,97047181;2,00079966;1,19863439
-4,97036781;2,00079966;1,19863439
-4,97026381;2,00079966;1,19863439
-4,97015981;1,95727730;1,19863439
-4,97005581;2,00079966;1,19863439
-4,96995181;2,00079966;1,19863439
-4,96984781;2,00079966;1,19863439
-4,96974381;2,00079966;1,19863439
-4,96963981;2,00079966;1,18128693
-4,96953581;2,04432201;1,18128693
-4,96943181;2,00079966;1,19863439
-4,96932781;2,00079966;1,19863439
-4,96922381;2,00079966;1,19863439
-4,96911981;2,00079966;1,18128693
-4,96901581;2,00079966;1,19863439
-4,96891181;2,00079966;1,19863439
-4,96880781;2,00079966;1,19863439
-4,96870381;2,04432201;1,19863439
-4,96859981;2,00079966;1,19863439
-4,96849581;2,00079966;1,21598184
-4,96839181;2,00079966;1,19863439
-4,96828781;2,00079966;1,19863439
-4,96818381;2,00079966;1,18128693
-4,96807981;2,00079966;1,19863439
-4,96797581;2,00079966;1,18128693
-4,96787181;2,00079966;1,16387796
-4,96776781;2,00079966;1,18128693
-4,96766381;2,00079966;1,18128693
-4,96755981;2,00079966;1,19863439
-4,96745581;2,00079966;1,18128693
-4,96735181;2,00079966;1,18128693
-4,96724781;2,00079966;1,18128693
-4,96714381;2,00079966;1,18128693
-4,96703981;2,04432201;1,18128693
-4,96693581;2,00079966;1,16387796
-4,96683181;2,00079966;1,16387796
-4,96672781;2,00079966;1,18128693
-4,96662381;2,00079966;1,18128693
-4,96651981;2,00079966;1,16387796
-4,96641581;2,04432201;1,16387796
-4,96631181;2,00079966;1,18128693
-4,96620781;2,00079966;1,18128693
-4,96610381;2,00079966;1,16387796
-4,96599981;2,00079966;1,14653051
-4,96589581;2,00079966;1,16387796
-4,96579181;2,00079966;1,18128693
-4,96568781;2,00079966;1,16387796
-4,96558381;2,00079966;1,18128693
-4,96547981;2,00079966;1,16387796
-4,96537581;2,04432201;1,16387796
-4,96527181;2,00079966;1,16387796
-4,96516781;2,00079966;1,18128693
