Time,Value
25.20000000000114,32030
25.21000000000114,32083
25.220000000001143,32140
25.230000000001144,32200
25.240000000001146,32264
25.250000000001148,32332
25.26000000000115,32403
25.27000000000115,32477
25.280000000001152,32554
25.290000000001154,32634
25.300000000001155,32716
25.310000000001157,32802
25.32000000000116,32889
25.33000000000116,32979
25.34000000000116,33070
25.350000000001163,33164
25.360000000001165,33259
25.370000000001166,33356
25.380000000001168,33454
25.39000000000117,33553
25.40000000000117,33653
25.410000000001173,33753
25.420000000001174,33854
25.430000000001176,33956
25.440000000001177,34057
25.45000000000118,34159
25.46000000000118,34260
25.470000000001182,34360
25.480000000001183,34460
25.490000000001185,34559
25.500000000001187,34657
25.510000000001188,34753
25.52000000000119,34848
25.53000000000119,34941
25.540000000001193,35033
25.550000000001194,35122
25.560000000001196,35209
25.570000000001198,35294
25.5800000000012,35377
25.5900000000012,35456
25.600000000001202,35533
25.610000000001204,35606
25.620000000001205,35677
25.630000000001207,35744
25.64000000000121,35807
25.65000000000121,35867
25.66000000000121,35924
25.670000000001213,35976
25.680000000001215,36025
25.690000000001216,36070
25.700000000001218,36110
25.71000000000122,36147
25.72000000000122,36179
25.730000000001223,36206
25.740000000001224,36230
25.750000000001226,36249
25.760000000001227,36264
25.77000000000123,36274
25.78000000000123,36279
25.790000000001232,36280
25.800000000001234,36277
25.810000000001235,36269
25.820000000001237,36257
25.830000000001238,36240
25.84000000000124,36218
25.85000000000124,36193
25.860000000001243,36163
25.870000000001244,36128
25.880000000001246,36090
25.890000000001248,36047
25.90000000000125,36000
25.91000000000125,35950
25.920000000001252,35895
25.930000000001254,35837
25.940000000001255,35775
25.950000000001257,35710
25.96000000000126,35641
25.97000000000126,35569
25.98000000000126,35493
25.990000000001263,35415
26.000000000001265,35334
26.010000000001266,35251
26.020000000001268,35165
26.03000000000127,35076
26.04000000000127,34986
26.050000000001273,34893
26.060000000001274,34799
26.070000000001276,34704
26.080000000001277,34606
26.09000000000128,34508
26.10000000000128,34409
26.110000000001282,34308
26.120000000001284,34208
26.130000000001285,34106
26.140000000001287,34005
26.150000000001288,33903
26.16000000000129,33802
26.17000000000129,33701
26.180000000001293,33601
26.190000000001294,33502
26.200000000001296,33403
26.210000000001298,33306
26.2200000000013,33210
26.2300000000013,33115
26.240000000001302,33023
26.250000000001304,32932
26.260000000001305,32844
26.270000000001307,32757
26.28000000000131,32673
26.29000000000131,32592
26.30000000000131,32514
26.310000000001313,32438
26.320000000001315,32366
26.330000000001316,32297
26.340000000001318,32231
26.35000000000132,32169
26.36000000000132,32110
26.370000000001323,32055
26.380000000001324,32004
26.390000000001326,31957
26.400000000001327,31914
26.41000000000133,31875
26.42000000000133,31840
26.430000000001332,31809
26.440000000001334,31783
26.450000000001335,31761
26.460000000001337,31744
26.47000000000134,31731
26.48000000000134,31723
26.49000000000134,31719
26.500000000001343,31719
26.510000000001344,31725
26.520000000001346,31734
26.530000000001348,31748
26.54000000000135,31767
26.55000000000135,31790
26.560000000001352,31817
26.570000000001354,31849
26.580000000001355,31885
26.590000000001357,31925
26.60000000000136,31969
26.61000000000136,32017
26.62000000000136,32069
26.630000000001363,32125
26.640000000001365,32185
26.650000000001366,32248
26.660000000001368,32315
26.67000000000137,32385
26.68000000000137,32458
26.690000000001373,32535
26.700000000001374,32614
26.710000000001376,32696
26.720000000001377,32780
26.73000000000138,32867
26.74000000000138,32956
26.750000000001382,33048
26.760000000001384,33141
26.770000000001385,33236
26.780000000001387,33332
26.79000000000139,33430
26.80000000000139,33528
26.81000000000139,33628
26.820000000001393,33729
26.830000000001395,33830
26.840000000001396,33931
26.850000000001398,34032
26.8600000000014,34134
26.8700000000014,34235
26.880000000001402,34336
26.890000000001404,34436
26.900000000001405,34535
26.910000000001407,34633
26.92000000000141,34730
26.93000000000141,34825
26.94000000000141,34919
26.950000000001413,35011
26.960000000001415,35101
26.970000000001416,35188
26.980000000001418,35274
26.99000000000142,35357
27.00000000000142,35437
27.010000000001423,32733
27.020000000001424,32883
27.030000000001426,33037
27.040000000001427,33193
27.05000000000143,33352
27.06000000000143,33513
27.070000000001432,33675
27.080000000001434,33837
27.090000000001435,34001
27.100000000001437,34164
27.11000000000144,34327
27.12000000000144,34489
27.13000000000144,34649
27.140000000001443,34808
27.150000000001445,34964
27.160000000001446,35118
27.170000000001448,35268
27.18000000000145,35415
27.19000000000145,35558
27.200000000001452,35696
27.210000000001454,35830
27.220000000001455,35958
27.230000000001457,36081
27.24000000000146,36198
27.25000000000146,36308
27.26000000000146,36412
27.270000000001463,36510
27.280000000001465,36600
27.290000000001466,36682
27.300000000001468,36757
27.31000000000147,36824
27.32000000000147,36883
27.330000000001473,36934
27.340000000001474,36976
27.350000000001476,37010
27.360000000001477,37036
27.37000000000148,37053
27.38000000000148,37061
27.390000000001482,37060
27.400000000001484,37051
27.410000000001485,37033
27.420000000001487,37006
27.43000000000149,36971
27.44000000000149,36927
27.45000000000149,36875
27.460000000001493,36815
27.470000000001495,36747
27.480000000001496,36671
27.490000000001498,36587
27.5000000000015,36496
27.5100000000015,36398
27.520000000001502,36293
27.530000000001504,36181
27.540000000001505,36064
27.550000000001507,35940
27.56000000000151,35811
27.57000000000151,35677
27.58000000000151,35538
27.590000000001513,35394
27.600000000001515,35247
27.610000000001516,35096
27.620000000001518,34942
27.63000000000152,34785
27.64000000000152,34626
27.650000000001523,34465
27.660000000001524,34303
27.670000000001526,34140
27.680000000001527,33977
27.69000000000153,33814
27.70000000000153,33651
27.710000000001532,33489
27.720000000001534,33329
27.730000000001535,33170
27.740000000001537,33014
27.75000000000154,32861
27.76000000000154,32711
27.77000000000154,32565
27.780000000001543,32423
27.790000000001545,32285
27.800000000001546,32152
27.810000000001548,32024
27.82000000000155,31902
27.83000000000155,31786
27.840000000001552,31677
27.850000000001554,31573
27.860000000001556,31477
27.870000000001557,31388
27.88000000000156,31307
27.89000000000156,31233
27.90000000000156,31167
27.910000000001563,31109
27.920000000001565,31059
27.930000000001566,31018
27.940000000001568,30985
27.95000000000157,30960
27.96000000000157,30945
27.970000000001573,30938
27.980000000001574,30940
27.990000000001576,30950
28.000000000001577,30969
28.01000000000158,30997
28.02000000000158,31033
28.030000000001582,31078
28.040000000001584,31131
28.050000000001585,31193
28.060000000001587,31262
28.07000000000159,31339
28.08000000000159,31424
28.09000000000159,31516
28.100000000001593,31615
28.110000000001595,31720
28.120000000001596,31833
28.130000000001598,31951
28.1400000000016,32076
28.1500000000016,32205
28.160000000001602,32340
28.170000000001604,32480
28.180000000001606,32624
28.190000000001607,32772
28.20000000000161,32923
28.21000000000161,33077
28.220000000001612,33235
28.230000000001613,33394
28.240000000001615,33555
28.250000000001616,33717
28.260000000001618,33880
28.27000000000162,34043
28.28000000000162,34207
28.290000000001623,34369
28.300000000001624,34531
28.310000000001626,34691
28.320000000001627,34849
28.33000000000163,35005
28.34000000000163,35158
28.350000000001632,35307
28.360000000001634,35453
28.370000000001635,35595
28.380000000001637,35732
28.39000000000164,35864
28.40000000000164,35991
28.41000000000164,36112
28.420000000001643,36227
28.430000000001645,36336
28.440000000001646,36439
28.450000000001648,36534
28.46000000000165,36622
28.47000000000165,36702
28.480000000001652,36775
28.490000000001654,36840
28.500000000001656,36897
28.510000000001657,36946
28.52000000000166,36986
28.53000000000166,37018
28.540000000001662,37041
28.550000000001663,37056
28.560000000001665,37061
28.570000000001667,37058
28.580000000001668,37047
28.59000000000167,37027
28.60000000000167,36998
28.610000000001673,36960
28.620000000001674,36914
28.630000000001676,36860
28.640000000001677,36798
28.65000000000168,36728
28.66000000000168,36649
28.670000000001682,36564
28.680000000001684,36471
28.690000000001685,36371
28.700000000001687,36264
28.71000000000169,36151
28.72000000000169,36032
28.73000000000169,35907
28.740000000001693,35776
28.750000000001695,35641
28.760000000001696,35501
28.770000000001698,35356
28.7800000000017,35208
28.7900000000017,35056
28.800000000001702,34901
28.810000000001704,34744
28.820000000001706,34584
28.830000000001707,34423
28.84000000000171,34261
28.85000000000171,34098
28.860000000001712,33934
28.870000000001713,33771
28.880000000001715,33609
28.890000000001717,33447
28.900000000001718,33287
28.91000000000172,33129
28.92000000000172,32974
28.930000000001723,32822
28.940000000001724,32673
28.950000000001726,32527
28.960000000001727,32386
28.97000000000173,32250
28.98000000000173,32118
28.990000000001732,31992
29.000000000001734,31871
29.010000000001735,31757
29.020000000001737,31649
29.03000000000174,31548
