std,mean,threshold,BER
0.1,0,0.2,0.04819854350325795
0.1,0.1,0.2,0.009620924069593272
0.1,0.2,0.2,0.023633677991137372
0.1,0.3,0.2,0.11248412056819494
0.1,0.4,0.2,0.3435857151489516
0.2,0,0.2,0.16316822263186062
0.2,0.1,0.2,0.10132613812503588
0.2,0.2,0.2,0.1234435507893953
0.2,0.3,0.2,0.20783363856560524
0.2,0.4,0.2,0.3243706743431126
0.3,0,0.2,0.2584574529500058
0.3,0.1,0.2,0.23059386754815914
0.3,0.2,0.2,0.20391028651949272
0.3,0.3,0.2,0.2820697520859595
0.3,0.4,0.2,0.3457652560475723
0.4,0,0.2,0.3219153727628304
0.4,0.1,0.2,0.3003629241315744
0.4,0.2,0.2,0.3138192907971058
0.4,0.3,0.2,0.3340363986983247
0.4,0.4,0.2,0.3584587597832631
0.5,0,0.2,0.3677167716771677
0.5,0.1,0.2,0.34542523176138656
0.5,0.2,0.2,0.36674949996969514
0.5,0.3,0.2,0.3672742385560767
0.5,0.4,0.2,0.37308228730822873
0.1,0,0.25,0.05711000383288616
0.1,0.1,0.25,0.01255905058186427
0.1,0.2,0.25,0.030782865583456425
0.1,0.3,0.25,0.1305578011317704
0.1,0.4,0.25,0.36322436400991
0.2,0,0.25,0.17625022298864246
0.2,0.1,0.25,0.11418565933750502
0.2,0.2,0.25,0.13792076258564195
0.2,0.3,0.25,0.22331186861227625
0.2,0.4,0.25,0.33600783977460646
0.3,0,0.25,0.27029211407458725
0.3,0.1,0.25,0.24478513621338197
0.3,0.2,0.25,0.21888210427430718
0.3,0.3,0.25,0.29467555075334656
0.3,0.4,0.25,0.3572542001039201
0.4,0,0.25,0.33359013867488446
0.4,0.1,0.25,0.31044415000864106
0.4,0.2,0.25,0.3277521975722059
0.4,0.3,0.25,0.3441605399542003
0.4,0.4,0.25,0.3675496688741722
0.5,0,0.25,0.3770777077707771
0.5,0.1,0.25,0.35515633097253413
0.5,0.2,0.25,0.37699254500272744
0.5,0.3,0.25,0.3778424271210592
0.5,0.4,0.25,0.3817410506741051
0.1,0,0.3,0.06372173246454581
0.1,0.1,0.3,0.015151515151515152
0.1,0.2,0.3,0.036809453471196456
0.1,0.3,0.3,0.1463794895484467
0.1,0.4,0.3,0.37814973714423833
0.2,0,0.3,0.18564547779033122
0.2,0.1,0.3,0.1254951489752569
0.2,0.2,0.3,0.1515638963360143
0.2,0.3,0.3,0.23672239617179655
0.2,0.4,0.3,0.3450113309242359
0.3,0,0.3,0.2793557325943886
0.3,0.1,0.3,0.25681066909837
0.3,0.2,0.3,0.2293917332080789
0.3,0.3,0.3,0.3044000240110451
0.3,0.4,0.3,0.3658564747993765
0.4,0,0.3,0.3438425980798862
0.4,0.1,0.3,0.319834091825566
0.4,0.2,0.3,0.3377384440590803
0.4,0.3,0.3,0.3528383753163794
0.4,0.4,0.3,0.37555689343768817
0.5,0,0.3,0.3846384638463846
0.5,0.1,0.3,0.36506017158979676
0.5,0.2,0.3,0.3846293714770592
0.5,0.3,0.3,0.38603574185121414
0.5,0.4,0.3,0.38836587633658765
0.1,0,0.35,0.07042928325028747
0.1,0.1,0.35,0.018377693282636248
0.1,0.2,0.35,0.04236336779911374
0.1,0.3,0.35,0.16381799283981985
0.1,0.4,0.35,0.3898120732370536
0.2,0,0.35,0.19617054171374204
0.2,0.1,0.35,0.13571387565302256
0.2,0.2,0.35,0.16145367887995235
0.2,0.3,0.35,0.24812429845808473
0.2,0.4,0.35,0.35321859496539476
0.3,0,0.35,0.2895739521995151
0.3,0.1,0.35,0.2663285079220335
0.3,0.2,0.35,0.24107562235791452
0.3,0.3,0.35,0.3136442763671289
0.3,0.4,0.35,0.37365048207378326
0.4,0,0.35,0.35279127652009007
0.4,0.1,0.35,0.3264588974019241
0.4,0.2,0.35,0.3470669138312504
0.4,0.3,0.35,0.3606725322405689
0.4,0.4,0.35,0.38296207104154123
0.5,0,0.35,0.3915991599159916
0.5,0.1,0.35,0.37185466689698854
0.5,0.2,0.35,0.39044790593369294
0.5,0.3,0.35,0.39405094104375704
0.5,0.4,0.35,0.3925499767549977
0.1,0,0.4,0.07828669988501341
0.1,0.1,0.4,0.02632791796289895
0.1,0.2,0.4,0.05004431314623338
0.1,0.3,0.4,0.18085229241251877
0.1,0.4,0.4,0.401413982717989
0.2,0,0.4,0.20740916929297734
0.2,0.1,0.4,0.14662150525288478
0.2,0.2,0.4,0.17152219243372058
0.2,0.3,0.4,0.25651326283452475
0.2,0.4,0.4,0.3610583695718748
0.3,0,0.4,0.2968479390370627
0.3,0.1,0.4,0.27527641627721416
0.3,0.2,0.4,0.2507045561296383
0.3,0.3,0.4,0.32240830782159796
0.3,0.4,0.4,0.3807516887015761
0.4,0,0.4,0.3588953419461894
0.4,0.1,0.4,0.33250763292816404
0.4,0.2,0.4,0.35507983017401185
0.4,0.3,0.4,0.369350367602748
0.4,0.4,0.4,0.39036724864539435
0.5,0,0.4,0.39861986198619864
0.5,0.1,0.4,0.3781309379858352
0.5,0.2,0.4,0.3968119279956361
0.5,0.3,0.4,0.3998100100932138
